Claim Number,Date Received,Incident D,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01502E+12,42053,42018,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checkpoint,Clothing,0,Deny
2.01502E+12,42053,42047,LAX,Los Angeles International Airport ,Delta Air Lines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,65,Approve in Full
2.01502E+12,42053,42043,LAX,Los Angeles International Airport ,Westjet Airlines Ltd  ,Property Damage,Checked Baggage,Clothing; Clothing; Computer & Accessories; Cosmetics & Grooming,0,Deny
2.01502E+12,42053,41879,LAX,Los Angeles International Airport ,Frontier Airlines,Property Damage,Checked Baggage,-,0,Deny
2.01502E+12,42053,42000,LAX,Los Angeles International Airport ,Aero Mexico,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Jewelry & Watches; Jewelry & Watches; Jewelry & Watches; Jewelry & Watches,0,Deny
2.01502E+12,42053,41960,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,83.14,Approve in Full
2.01502E+12,42055,42051,LAX,Los Angeles International Airport ,-,Property Damage,Checkpoint,Personal Electronics,108.86,Approve in Full
2.01502E+12,42058,41897,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checkpoint,-,-,-
2.01502E+12,42058,42053,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Other; Personal Accessories,132.5,Approve in Full
2.01502E+12,42058,42044,LAX,Los Angeles International Airport ,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras,0,Deny
